Company,BBG ticker,Date,Reason,Type,Industry,MarketCapUSD,1M_TR,3M_TR,6M_TR,12M_TR,24M_TR,1M_SXXP,3M_SXXP,6M_SXXP,12M_SXXP,24M_SXXP,1M_ALPHA,3M_ALPHA,6M_ALPHA,12M_ALPHA,24M_ALPHA
Hammerson plc (LSE:HMSO),HMSO LN,12-Oct-16,Tender,Big4 to Big4,Financial,5653,-0.003,0.026,0.09,0.01,-0.136,-0.001,0.075,0.144,0.191,0.133,-0.001,-0.049,-0.054,-0.182,-0.269
Herald Investment Trust PLC (LSE:HRI),HRI LN,04-Nov-19,Tender,Big4 to Big4,Financial,#N/A N/A,,,,,,,,,,,,,,,
HSBC Holdings plc (LSE:HSBA),HSBA LN,25-Apr-15,Not explained,Big4 to Big4,Financial,#N/A N/A,-0.004,-0.086,-0.149,-0.22,0.168,0.003,-0.023,-0.061,-0.124,0.013,-0.008,-0.064,-0.088,-0.096,0.155
HSBC Holdings plc (LSE:HSBA),HSBA LN,18-Mar-15,Not explained,Big4 to Big4,Financial,#N/A N/A,0.036,0.025,-0.134,-0.172,0.302,0.017,-0.02,-0.091,-0.114,0.015,0.019,0.045,-0.044,-0.057,0.287
HSBC Holdings plc (LSE:HSBA),HSBA LN,02-Aug-13,Not explained,Big4 to Big4,Financial,198087,-0.081,-0.072,-0.154,-0.126,-0.152,-0.001,0.062,0.07,0.127,0.388,-0.08,-0.134,-0.223,-0.253,-0.539
The Henderson Smaller Companies Investment Trust plc (LSE:HSL),HSL LN,17-Apr-18,Tender,Big4 to Big4,Financial,#N/A N/A,0.108,0.094,-0.021,0.04,,0.048,0.026,-0.026,0.06,,0.06,0.068,0.006,-0.02,
Ibstock plc (LSE:IBST),IBST LN,24-May-17,Tender,Big4 to Big4,Industrial,934,0.054,-0.002,0.03,0.201,0.119,-0.009,-0.039,-0.004,0.028,0.027,0.063,0.036,0.034,0.173,0.093
Ibstock plc (LSE:IBST),IBST LN,16-Dec-16,Tender,Big4 to Big4,Industrial,804,-0.009,0.189,0.468,0.399,0.238,0.009,0.056,0.106,0.114,0.03,-0.018,0.134,0.362,0.285,0.208
IG Group Holdings plc (LSE:IGG),IGG LN,17-Dec-10,Resignation,Big4 to Big4,Financial,1994,0.009,-0.064,-0.154,-0.053,-0.039,0.028,-0.028,-0.009,-0.123,0.09,-0.02,-0.036,-0.145,0.07,-0.129
3i Group plc (LSE:III),III LN,31-Jul-18,Previous reappointed,Big4 to Big4,Financial,11622,-0.054,-0.073,-0.086,0.22,,-0.021,-0.072,-0.076,0.022,,-0.033,-0.001,-0.011,0.198,
Imperial Brands PLC (LSE:IMB),IMB LN,01-Mar-19,Previous not seeking reapp.,Big4 to Big4,"Consumer, Non-cyclical",33223,0.032,-0.232,-0.135,,,0.03,0.008,0.043,,,0.002,-0.24,-0.178,,
